CEST	NCM_LIST	DESCRIPTION
"0105400"	"['8511']"	"aparelhos e dispositivos elétricos de ignição ou de arranque para motores de ignição por centelha ou por compressão (por exemplo, magnetos, dínamos-magnetos, bobinas de ignição, velas de ignição ou de aquecimento, motores de arranque); geradores (dínamos e alternadores, por exemplo) e conjuntores-disjuntores utilizados com estes motores"
"0105500"	"['851220', '851240', '85129000']"	"aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes"
"0105600"	"['85171213']"	"telefones móveis do tipo dos utilizados em veículos automóveis."
"0105700"	"['8518']"	"alto-falantes, amplificadores elétricos de audiofrequência e partes"
"0105800"	"['85185000']"	"aparelhos elétricos de amplificação de som para veículos automotores"
"0105900"	"['851981']"	"aparelhos de reprodução de som"
"0106000"	"['8525501', '85256010']"	"aparelhos transmissores (emissores) de radiotelefonia ou radiotelegrafia (rádio receptor/transmissor)"
"0106100"	"['85272100']"	"aparelhos receptores de radiodifusão que só funcionem com fonte externa de energia combinados com um aparelho de gravação ou de reprodução de som, do tipo utilizado em veículos automóveis"
"0106200"	"['85272900']"	"outros aparelhos receptores de radiodifusão que só funcionem com fonte externa de energia, do tipo utilizado em veículos automóveis"
"0106201"	"['85219090']"	"outros aparelhos videofônicos de gravação ou de reprodução, mesmo incorporando um receptor de sinais videofônicos, dos tipos utilizados exclusivamente em veículos automotores"
"0106300"	"['85291090']"	"antenas"
"0106400"	"['853400']"	"circuitos impressos"
"0106500"	"['853530', '853650']"	"interruptores e seccionadores e comutadores"
"0106600"	"['85361000']"	"fusíveis e corta-circuitos de fusíveis"
"0106700"	"['85362000']"	"disjuntores"
"0106800"	"['85364']"	"relés"
"0106900"	"['8538']"	"partes reconhecíveis como exclusivas ou principalmente destinados aos aparelhos dos cest 01.065.00, 01.066.00, 01.067.00 e 01.068.00"
"0107000"	"['853910']"	"faróis e projetores, em unidades seladas"
"0107100"	"['85392']"	"lâmpadas e tubos de incandescência, exceto de raios ultravioleta ou infravermelhos"
"0107200"	"['85442000']"	"cabos coaxiais e outros condutores elétricos coaxiais"
"0107300"	"['85443000']"	"jogos de fios para velas de ignição e outros jogos de fios"
"0107400"	"['8707']"	"carroçarias para os veículos automóveis das posições 8701 a 8705, incluídas as cabinas"
"0107500"	"['8708']"	"partes e acessórios dos veículos automóveis das posições 8701 a 8705"
"0107600"	"['87141']"	"parte e acessórios de motocicletas (incluídos os ciclomotores)"
"0107700"	"['87169090']"	"engates para reboques e semirreboques"
"0107800"	"['902610']"	"medidores de nível; medidores de vazão"
"0107900"	"['902620']"	"aparelhos para medida ou controle da pressão"
"0108000"	"['9029']"	"contadores, indicadores de velocidade e tacômetros, suas partes e acessórios"
"0108100"	"['90303321']"	"amperímetros"
"0108200"	"['90318040']"	"aparelhos digitais, de uso em veículos automóveis, para medida e indicação de múltiplas grandezas tais como: velocidade média, consumos instantâneo e médio e autonomia (computador de bordo)"
"0108300"	"['9032892']"	"controladores eletrônicos"
"0108400"	"['91040000']"	"relógios para painéis de instrumentos e relógios semelhantes"
"0108500"	"['94012000', '94019090']"	"assentos e partes de assentos"
"0108600"	"['96138000']"	"acendedores"
"0108700"	"['4009']"	"tubos de borracha vulcanizada não endurecida, mesmo providos de seus acessórios"
"0108800"	"['45049000', '68129910']"	"juntas de vedação de cortiça natural e de amianto"
"0108900"	"['48234000']"	"papel-diagrama para tacógrafo, em disco"
"0109000"	"['39191000', '39199000', '87082999']"	"fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários"
"0109100"	"['84123110']"	"cilindros pneumáticos"
"0109200"	"['84131900', '84135090', '84138100']"	"bomba elétrica de lavador de para-brisa"
"0109300"	"['84136019', '84137010']"	"bomba de assistência de direção hidráulica"
"0109400"	"['84145910', '84145990']"	"motoventiladores"
"0109500"	"['84213990']"	"filtros de pólen do ar-condicionado"
"0109600"	"['85011019']"	"“máquina” de vidro elétrico de porta"
"0109700"	"['85013110']"	"motor de limpador de para-brisa"
"0109800"	"['85045000']"	"bobinas de reatância e de autoindução"
"0109900"	"['850720', '850730']"	"baterias de chumbo e de níquel-cádmio"
"0110000"	"['85123000']"	"aparelhos de sinalização acústica (buzina)"
"0110100"	"['9032898', '9032899']"	"instrumentos para regulação de grandezas não elétricas"
"0110200"	"['90271000']"	"analisadores de gases ou de fumaça (sonda lambda)"
"0110300"	"['40081100']"	"perfilados de borracha vulcanizada não endurecida"
"0110400"	"['56012219']"	"artefatos de pasta de fibra de uso automotivo"
"0110500"	"['57032000']"	"tapetes/carpetes - nailón"
"0110600"	"['57033000']"	"tapetes de matérias têxteis sintéticas"
"0110700"	"['59119000']"	"forração interior capacete"
"0110800"	"['69039099']"	"outros para-brisas"
"0110900"	"['70072900']"	"moldura com espelho"
"0111000"	"['73145000']"	"corrente de transmissão"
"0111100"	"['73151100']"	"corrente transmissão"
"0111200"	"['73151210']"	"outras correntes de transmissão"
"0111300"	"['84189900']"	"condensador tubular metálico"
"0111400"	"['841950']"	"trocadores de calor"
"0111500"	"['84249090']"	"partes de aparelhos mecânicos de pulverizar ou dispersar"
"0111600"	"['84254910']"	"macacos manuais para veículos"
"0111700"	"['84314100']"	"caçambas, pás, ganchos e tenazes para máquinas rodoviárias"
"0111800"	"['85016100']"	"geradores de corrente alternada de potência não superior a 75 kva"
"0111900"	"['85311090']"	"aparelhos elétricos para alarme de uso automotivo"
"0112000"	"['90141000']"	"bússolas"
"0112100"	"['90251990']"	"indicadores de temperatura"
"0112200"	"['90259010']"	"partes de indicadores de temperatura"
"0112300"	"['902690']"	"partes de aparelhos de medida ou controle"
"0112400"	"['90321010']"	"termostatos"
"0112500"	"['90321090']"	"instrumentos e aparelhos para regulação"
"0112600"	"['90322000']"	"pressostatos"
"0112700"	"['871690']"	"peças para reboques e semirreboques, exceto os itens classificados no cest 01.077.00"
"0112800"	"['73229010']"	"geradores de ar quente a combustível líquido, com capacidade superior ou igual a 1.500 kcal/h, mas inferior ou igual a 10.400 kcal/h, do tipo dos utilizados em veículos automóveis"
"0199900"	"[]"	"outras peças, partes e acessórios para veículos automotores não relacionados nos demais itens deste anexo"
"0200100"	"['2205', '22089000']"	"aperitivos, amargos, bitter e similares"
"0200200"	"['22089000']"	"batida e similares"
"0200300"	"['22089000']"	"bebida ice"
"0200400"	"['220720', '22084000']"	"cachaça e aguardentes"
"0200500"	"['2205', '22060090', '22089000']"	"catuaba e similares"
"0200600"	"['22082000']"	"conhaque, brandy e similares"
"0200700"	"['22060090', '22089000']"	"cooler"
"0200800"	"['22085000']"	"gim (gin) e genebra"
"0200900"	"['2205', '22060090', '22089000']"	"jurubeba e similares"
"0201000"	"['22087000']"	"licores e similares"
"0201100"	"['22082000']"	"pisco"
"0201200"	"['22084000']"	""
"0201300"	"['22060090']"	"saquê"
"0201400"	"['22089000']"	"steinhaeger"
"0201500"	"['22089000']"	"tequila"
"0201600"	"['220830']"	"uísque"
"0201700"	"['2205']"	"vermute e similares"
"0201800"	"['22086000']"	"vodka"
"0201900"	"['22089000']"	"derivados de vodka"
"0202000"	"['22089000']"	"arak"
"0202100"	"['22082000']"	"aguardente vínica / grappa"
"0202200"	"['22060010']"	"sidra e similares"
"0202300"	"['2205', '22060090', '22089000']"	"sangrias e coquetéis"
"0202400"	"['2204']"	"vinhos de uvas frescas, incluindo os vinhos enriquecidos com álcool; mostos de uvas."
"0299900"	"['2205', '2206', '2207', '2208']"	"outras bebidas alcoólicas não especificadas nos itens anteriores"
"0300100"	"['22011000']"	"água mineral, gasosa ou não, ou potável, naturais, em garrafa de vidro, retornável ou não, com capacidade de até 500 ml"
"0300100"	"['22011000']"	"água mineral, gasosa ou não, ou potável, naturais, em garrafa de vidro, retornável ou não, com capacidade de até 500 ml"
"0300200"	"['22011000']"	"água mineral, gasosa ou não, ou potável, naturais, em embalagem com capacidade igual ou superior a 5.000 ml; exceto as classificadas no cest 03.024.00 e 03.025.00"
"0300200"	"['22011000']"	"água mineral, gasosa ou não, ou potável, naturais, em embalagem com capacidade igual ou superior a 5.000 ml; exceto as classificadas no cest 03.024.00 e 03.025.00"
"0300300"	"['22011000']"	"água mineral, gasosa ou não, ou potável, naturais, em embalagem de vidro, não retornável, com capacidade de até 300 ml"
"0300300"	"['22011000']"	"água mineral, gasosa ou não, ou potável, naturais, em embalagem de vidro, não retornável, com capacidade de até 300 ml"
"0300301"	"['22011000']"	"água mineral, gasosa ou não, ou potável, naturais, adicionadas de sais, em embalagem de vidro descartável"
"0300400"	"['22011000']"	"água mineral, gasosa ou não, ou potável, naturais, em garrafa plástica de 1.500 ml"
"0300400"	"['22011000']"	"água mineral, gasosa ou não, ou potável, naturais, em garrafa plástica de 1.500 ml"
"0300500"	"['22011000']"	"água mineral, gasosa ou não, ou potável, naturais, em copos plásticos e embalagem plástica com capacidade de até 500 ml"
"0300500"	"['22011000']"	"água mineral, gasosa ou não, ou potável, naturais, em copos plásticos e embalagem plástica com capacidade de até 500 ml"
"0300501"	"['22011000']"	"água mineral, gasosa ou não, ou potável, naturais, adicionadas de sais, em copo plástico descartável"
"0300502"	"['22011000']"	"água mineral, gasosa ou não, ou potável, naturais, em jarra descartável"
"0300503"	"['22011000']"	"água mineral, gasosa ou não, ou potável, naturais, adicionadas de sais, em jarra descartável"
"0300504"	"['22011000']"	"água mineral, gasosa ou não, ou potável, naturais, em demais embalagens descartáveis"
"0300505"	"['22011000']"	"água mineral, gasosa ou não, ou potável, naturais, adicionadas de sais, em demais embalagens descartáveis"
"0300600"	"['22011000']"	"outras águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas; exceto as classificadas no cest 03.024.00 e 03.025.00"
"0300600"	"['22011000']"	"outras águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas; exceto as classificadas no cest 03.024.00 e 03.025.00"
"0300600"	"['22011000']"	"outras águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas"
"0300600"	"['22011000']"	"outras águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas; exceto as classificadas no cest 03.024.00 e 03.025.00"
"0300700"	"['22021000']"	"águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas ou aromatizadas artificialmente, exceto os refrescos e refrigerantes"
"0300700"	"['22021000']"	"águas mineiras, potáveis ou naturais, gasosas ou não, inclusive gaseificadas ou aromatizadas artificialmente, exceto os refrescos e refrigerantes"
"0300700"	"['22021000']"	"águas mineiras, potáveis ou naturais, gasosas ou não, inclusive gaseificadas ou aromatizadas artificialmente, exceto os refrescos e refrigerantes"
"0300800"	"['22029900']"	"outras águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas ou aromatizadas artificialmente"
"0300800"	"['22029900']"	"outras águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas ou aromatizadas artificialmente"
"0301000"	"['2202']"	"refrigerantes em garrafa com capacidade igual ou superior a 600 ml, exceto os classificados no cest 03.011.01"
"0301000"	"['22021000', '22029900']"	"refrigerante em vidro descartável"
"0301001"	"['22021000', '22029900']"	"refrigerante em embalagem pet"
"0301002"	"['22021000', '22029900']"	"refrigerante em lata"
"0301003"	"['22021000', '22029900']"	"cápsula de refrigerante"
"0301003"	"['22021000', '22029900']"	"cápsula de refrigerante"
"0301100"	"['22021000', '22029900']"	"demais refrigerantes, exceto os classificados no cest 03.010.00, 03.010.01, 03.010.02, 03.010.03 e 03.011.01"
"0301100"	"['2202']"	"demais refrigerantes"
"0301100"	"['22021000', '22029900']"	"demais refrigerantes, exceto os classificados no cest 03.010.00, 03.010.01, 03.010.02, 03.010.03 e 03.011.01"
"0301101"	"['2202']"	"espumantes sem álcool"
"0301200"	"['21069010']"	"xarope ou extrato concentrado destinados ao preparo de refrigerante em máquina “pré-mix” ou “post-mix”"
"0301200"	"['21069010']"	"xarope ou extrato concentrado destinados ao preparo de refrigerante em máquina “pré-mix” ou “post-mix”"
"0301201"	"['21069010']"	"cápsula de refrigerante"
"0301300"	"['210690', '22029900']"	"bebidas energéticas em embalagem com capacidade inferior a 600ml"
"0301300"	"['210690', '22029900']"	"bebidas energéticas em embalagem com capacidade inferior a 600ml"
"0301301"	"['210690', '22029900']"	"bebidas energéticas em embalagem pet"
"0301302"	"['210690', '22029900']"	"bebidas energéticas em vidro"
"0301400"	"['210690', '22029900']"	"bebidas energéticas em embalagem com capacidade igual ou superior a 600ml"
"0301400"	"['210690', '22029900']"	"bebidas energéticas em embalagem com capacidade igual ou superior a 600ml"
"0301500"	"['210690', '22029900']"	"bebidas hidroeletrolíticas em embalagem com capacidade inferior a 600ml"
"0301500"	"['210690', '22029900']"	"bebidas hidroeletrolíticas"
"0301500"	"['210690', '22029900']"	"bebidas hidroeletrolíticas (isotônicos) em embalagem com capacidade inferior a 600ml"
"0301600"	"['210690', '22029900']"	"bebidas hidroeletrolíticas em embalagem com capacidade igual ou superior a 600ml"
"0301600"	"['210690', '22029900']"	"revogado"
"0301600"	"['210690', '22029900']"	"bebidas hidroeletrolíticas (isotônicos) em embalagem com capacidade igual ou superior a 600ml"
"0302100"	"['22030000']"	"cerveja"
"0302101"	"['22030000']"	"cerveja em garrafa de vidro descartável"
"0302102"	"['22030000']"	"cerveja em garrafa de alumínio"
"0302103"	"['22030000']"	"cerveja em lata"
"0302104"	"['22030000']"	"cerveja em barril"
"0302105"	"['22030000']"	"cerveja em embalagem pet"
"0302106"	"['22030000']"	"cerveja em outras embalagens"
"0302200"	"['22029100']"	"cerveja sem álcool"
"0302200"	"['22029100']"	"cerveja sem álcool"
"0302201"	"['22029100']"	"cerveja sem álcool em garrafa de vidro descartável"
"0302202"	"['22029100']"	"cerveja sem álcool em garrafa de alumínio"
"0302203"	"['22029100']"	"cerveja sem álcool em lata"
"0302204"	"['22029100']"	"cerveja sem álcool em barril"
"0302205"	"['22029100']"	"cerveja sem álcool em embalagem pet"
"0302206"	"['22029100']"	"cerveja sem álcool em outras embalagens"
"0302300"	"['22030000']"	"chope"
"0302400"	"['22011000']"	"água mineral em embalagens retornáveis com capacidade igual ou superior a 10 (dez) e inferior a 20 (vinte) litros"
"0302500"	"['22011000']"	"água mineral em embalagens retornáveis com capacidade igual ou superior a 20 (vinte) litros"
"0400100"	"['2402']"	"charutos, cigarrilhas e cigarros, de tabaco ou dos seus sucedâneos"
"0400200"	"['24031']"	"tabaco para fumar, mesmo contendo sucedâneos de tabaco em qualquer proporção"
"0500100"	"['2523']"	"cimento"
"0600100"	"['22071010']"	"álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior a 80% vol - com um teor de água igual ou inferior a 1 % vol (álcool etílico anidro combustível)"
"0600101"	"['22071090']"	"álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior a 80% vol - outros (álcool etílico hidratado combustível)"
"0600200"	"['27101259']"	"gasolina automotiva a, exceto premium"
"0600201"	"['27101259']"	"gasolina automotiva c, exceto premium"
"0600202"	"['27101259']"	"gasolina automotiva a premium"
"0600203"	"['27101259']"	"gasolina automotiva c premium"
"0600300"	"['27101251']"	"gasolina de aviação"
"0600400"	"['27101919']"	"querosenes, exceto de aviação"
"0600500"	"['27101911']"	"querosene de aviação"
"0600600"	"['2710192']"	"óleo diesel a, exceto s10 e marítimo"
"0600601"	"['2710192']"	"óleo diesel b, exceto s10 (mistura obrigatória)"
"0600602"	"['2710192']"	"óleo diesel b, exceto s10 (misturas autorizativas)"
"0600603"	"['2710192']"	"óleo diesel b, exceto s10 (misturas experimentais)"
"0600604"	"['2710192']"	"óleo diesel a s10"
"0600605"	"['2710192']"	"óleo diesel b s10 (mistura obrigatória)"
"0600606"	"['2710192']"	"óleo diesel b s10 (misturas autorizativas)"
"0600607"	"['2710192']"	"óleo diesel b s10 (misturas experimentais)"
"0600608"	"['2710192']"	"óleo diesel marítimo"
"0600609"	"['2710192']"	"outros óleos combustíveis, exceto os classificados no cest 06.006.10 e 06.006.11"
"0600610"	"['2710192']"	"óleo combustível derivado de xisto"
"0600611"	"['27101922']"	"óleo combustível pesado"
"0600700"	"['2710193']"	"óleos lubrificantes"
"0600800"	"['2710199']"	"outros óleos de petróleo ou de minerais betuminosos (exceto óleos brutos) e preparações não especificadas nem compreendidas noutras posições, que contenham, como constituintes básicos, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos, exceto os que contenham biodiesel, exceto os resíduos de óleos e exceto as graxas lubrificantes"
"0600801"	"['2710199']"	"graxa lubrificante"
"0600900"	"['27109']"	"resíduos de óleos"
"0601000"	"['2711']"	"gás de petróleo e outros hidrocarbonetos gasosos, exceto glp, glgn, gás natural e gás de xisto."
"0601100"	"['27111910']"	"gás liquefeito de petróleo em botijão de 13 kg (glp)"
"0601101"	"['27111910']"	"gás liquefeito de petróleo (glp), exceto em botijão de 13 kg"
"0601102"	"['27111910']"	"gás liquefeito de petróleo em botijão de 13 kg (glgnn)"
"0601103"	"['27111910']"	"gás liquefeito de petróleo (glgnn), exceto em botijão de 13 kg"
"0601104"	"['27111910']"	"gás liquefeito de petróleo em botijão de 13 kg (glgni)"
"0601105"	"['27111910']"	"gás liquefeito de petróleo (glgni), exceto em botijão de 13 kg"
"0601106"	"['27111910']"	"gás liquefeito de petróleo em botijão de 13 kg (misturas)"
"0601107"	"['27111910']"	"gás liquefeito de petróleo (misturas), exceto em botijão de 13 kg"
"0601200"	"['27111100']"	"gás natural liquefeito"
"0601300"	"['27112100']"	"gás natural gasoso"
"0601400"	"['27112990']"	"gás de xisto"
"0601500"	"['2713']"	"coque de petróleo e outros resíduos de óleo de petróleo ou de minerais betuminosos"
"0601600"	"['38260000']"	"biodiesel e suas misturas, que não contenham ou que contenham menos de 70%, em peso, de óleos de petróleo ou de óleos minerais betuminosos"
"0601700"	"['3403']"	"preparações lubrificantes, exceto as contendo, como constituintes de base, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos"
"0601800"	"['27102000']"	"óleos de petróleo ou de minerais betuminosos (exceto óleos brutos) e preparações não especificadas nem compreendidas noutras posições, que contenham, como constituintes básicos, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos, que contenham biodiesel, exceto os resíduos de óleos"
"0700100"	"['27160000']"	"energia elétrica"
"0800100"	"['40169990']"	"ferramentas de borracha vulcanizada não endurecida"
"0800200"	"['44170010', '44170090']"	"ferramentas, armações e cabos de ferramentas, de madeira"
"0800300"	"['6804']"	"mós e artefatos semelhantes, sem armação, para moer, desfibrar, triturar, amolar, polir, retificar ou cortar; pedras para amolar ou para polir, manualmente, e suas partes, de pedras naturais, de abrasivos naturais ou artificiais aglomerados ou de cerâmica, mesmo com partes de outras matérias"
"0800400"	"['8201']"	"pás, alviões, picaretas, enxadas, sachos, forcados e forquilhas, ancinhos e raspadeiras; machados, podões e ferramentas semelhantes com gume; tesouras de podar de todos os tipos; foices e foicinhas, facas para feno ou para palha, tesouras para sebes, cunhas e outras ferramentas manuais para agricultura, horticultura ou silvicultura"
"0800500"	"['82022000']"	"folhas de serras de fita"
"0800600"	"['82029100']"	"lâminas de serras máquinas"
"0800700"	"['8202']"	"serras manuais e outras folhas de serras (incluídas as fresas-serras e as folhas não dentadas para serrar), exceto as classificadas nos cest 08.005.00 e 08.006.00"
"0800800"	"['8203']"	"limas, grosas, alicates (mesmo cortantes), tenazes, pinças, cisalhas para metais, corta-tubos, corta-pinos, saca-bocados e ferramentas semelhantes, manuais, exceto as pinças para sobrancelhas classificadas na posição 8203.20.90"
"0800900"	"['8204']"	"chaves de porcas, manuais (incluídas as chaves dinamométricas); chaves de caixa intercambiáveis, mesmo com cabos"
"0801000"	"['8205']"	"ferramentas manuais (incluídos os diamantes de vidraceiro) não especificadas nem compreendidas em outras posições, lamparinas ou lâmpadas de soldar (maçaricos) e semelhantes; tornos de apertar, sargentos e semelhantes, exceto os acessórios ou partes de máquinas-ferramentas; bigornas; forjas-portáteis; mós com armação, manuais ou de pedal"
"0801100"	"['82060000']"	"ferramentas de pelo menos duas das posições 8202 a 8205, acondicionadas em sortidos para venda a retalho"
"0801200"	"['820740', '820760', '820770']"	"ferramentas de roscar interior ou exteriormente; de mandrilar ou de brochar; e de fresar"
"0801300"	"['8207']"	"outras ferramentas intercambiáveis para ferramentas manuais, mesmo mecânicas, ou para máquinas-ferramentas (por exemplo, de embutir, estampar, puncionar, furar, tornear, aparafusar), incluídas as fieiras de estiragem ou de extrusão, para metais, e as ferramentas de perfuração ou de sondagem, exceto forma ou gabarito de produtos em epoxy e as classificadas no cest 08.012.00"
"0801400"	"['8208']"	"facas e lâminas cortantes, para máquinas ou para aparelhos mecânicos"
"0801500"	"['82090011']"	"plaquetas ou pastilhas intercambiáveis"
"0801600"	"['820900']"	"outras plaquetas, varetas, pontas e objetos semelhantes para ferramentas, não montados, de ceramais (“cermets”), exceto as classificadas no cest 08.015.00"
"0801700"	"['8211']"	"facas de lâmina cortante ou serrilhada, incluídas as podadeiras de lâmina móvel, e suas lâminas, exceto as de uso doméstico"
"0801800"	"['8213']"	"tesouras e suas lâminas"
"0801900"	"['8467']"	"ferramentas pneumáticas, hidráulicas ou com motor (elétrico ou não elétrico) incorporado, de uso manual, exceto o descrito no cest 08.019.01"
"0801901"	"['84678100']"	"moto-serras portáteis de corrente, com motor incorporado, não elétrico, de uso agrícola"
"0802000"	"['9015']"	"instrumentos e aparelhos de geodesia, topografia, agrimensura, nivelamento, fotogrametria, hidrografia, oceanografia, hidrologia, meteorologia ou de geofísica, exceto bussolas; telêmetros"
"0802100"	"['90172000', '901730', '901780', '90179090']"	"instrumentos de desenho, de traçado ou de cálculo; metros, micrômetros, paquímetros, calibres e semelhantes; partes e acessórios"
"0802200"	"['90251190', '90259010']"	"termômetros, suas partes e acessórios"
"0802300"	"['902519', '90259090']"	"pirômetros, suas partes e acessórios"
"0900100"	"['8539']"	"lâmpadas elétricas"
"0900200"	"['8540']"	"lâmpadas eletrônicas"
"0900300"	"['85041000']"	"reatores para lâmpadas ou tubos de descargas"
"0900400"	"['853650']"	"“starter”"
"0900500"	"['85395000']"	"lâmpadas de led (diodos emissores de luz)"
"1000100"	"['2522']"	""
"1000200"	"['3816001', '38245000']"	"argamassas"
