nome	ncm	pai
outros artefatos têxteis confeccionados; sortidos; artefatos de matérias têxteis, calçados, chapéus e artefatos de uso semelhante, usados; trapos	63	secao11
calçados, polainas e artefatos semelhantes; suas partes	64	secao12
chapéus e artefatos de uso semelhante, e suas partes	65	secao12
guarda-chuvas, sombrinhas, guarda-sóis, bengalas, bengalas-assentos, chicotes, pingalins, e suas partes	66	secao12
penas e penugem preparadas e suas obras; flores artificiais; obras de cabelo	67	secao12
obras de pedra, gesso, cimento, amianto, mica ou de matérias semelhantes	68	secao13
produtos cerâmicos	69	secao13
vidro e suas obras	70	secao13
pérolas naturais ou cultivadas, pedras preciosas ou semipreciosas e semelhantes, metais preciosos, metais folheados ou chapeados de metais preciosos (plaquê), e suas obras; bijuterias; moedas	71	secao14
ferro fundido, ferro e aço	72	secao15
obras de ferro fundido, ferro ou aço	73	secao15
cobre e suas obras	74	secao15
níquel e suas obras	75	secao15
alumínio e suas obras	76	secao15
chumbo e suas obras	78	secao15
zinco e suas obras	79	secao15
estanho e suas obras	80	secao15
outros metais comuns; ceramais (cermets); obras dessas matérias	81	secao15
ferramentas, artefatos de cutelaria e talheres, e suas partes, de metais comuns	82	secao15
obras diversas de metais comuns	83	secao15
reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes	84	secao16
máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios	85	secao16
veículos e material para vias férreas ou semelhantes, e suas partes; aparelhos mecânicos (incluindo os eletromecânicos) de sinalização para vias de comunicação	86	secao17
veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios	87	secao17
aeronaves e aparelhos espaciais, e suas partes	88	secao17
embarcações e estruturas flutuantes	89	secao17
instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios	90	secao18
artigos de relojoaria	91	secao18
instrumentos musicais; suas partes e acessórios	92	secao18
armas e munições; suas partes e acessórios	93	secao19
móveis; mobiliário médico-cirúrgico, colchões, almofadas e semelhantes; aparelhos de iluminação não especificados nem compreendidos em outros capítulos; anúncios, cartazes ou tabuletas e placas indicadoras luminosos, e artigos semelhantes; construções pré	94	secao20
brinquedos, jogos, artigos para divertimento ou para esporte; suas partes e acessórios	95	secao20
obras diversas	96	secao20
objetos de arte, de coleção e antiguidades	97	secao21
transações especiais	99	secao22
animais vivos das espécies cavalar, asinina e muar, exceto reprodutores raça pura	01.01	01
outros bovinos vivos	01.02	01
outros suínos vivos de peso igual ou superior a 50 kg	01.03	01
caprinos vivos	01.04	01
patos, gansos, perus, galinhas d'angola e outras aves vivas, das espécies domésticas, de peso superior a 185 g	01.05	01
outros animais vivos	01.06	01
carnes de bovino, desossadas, frescas ou refrigeradas	02.01	02
carnes de bovino, desossadas, congeladas	02.02	02
outras carnes de suíno, congeladas	02.03	02
carnes de caprino, frescas, refrigeradas ou congeladas	02.04	02
carnes de cavalo, asinino e muar, frescas, refrigeradas ou congeladas	02.05	02
miudezas comestíveis das espécies ovino, caprino, cavalar, asinino e muar, congeladas	02.06	02
carnes de galinhas dangola (pintadas)	02.07	02
carnes e miudezas comestíveis de outros animais, frescas, refrigeradas ou congeladas	02.08	02
outros toucinhos e gorduras	02.09	02
carnes de outros animais, comestíveis, salgadas, secas ou defumadas; miudezas, farinhas e pós	02.10	02
outros peixes vivos	03.01	03
cabeças, caudas, bexigas-natatórias e outros subprodutos comestíveis de peixes	03.02	03
outros subprodutos comestíveis de peixes, congelado	03.03	03
carnes de outros peixes, exceto filés, mesmo picadas, congeladas	03.04	03
outros desperdicios comestíveis, de peixes	03.05	03
outros crustáceos, incluindo as farinhas, pós e pellets de crustáceos, próprios para alimentação humana	03.06	03
outros moluscos, invertebrados aquáticos, exceto os crustáceos, congelados, secos, salgados ou em salmoura, incluídos as farinhas, pós e pellets próprios para alimentação humana	03.07	03
outros invertebrados aquáticos (exceto crustáceos e moluscos), secos, congelados, etc	03.08	03
leite e creme de leite, com teor em peso, de matérias gordas, superior a 10 %	04.01	04
outros leites, cremes de leite, concentrados, adocicados	04.02	04
leitelho, leite, creme de leite, coalhados, quefir e outros leites e cremes de leite, fermentados ou acidificados, mesmo concentrados, adocicados ou aromatizados	04.03	04
outros produtos constituídos do leite, mesmo concentrados ou adocicados	04.04	04
óleo butírico de manteiga (butter oil) e outras matérias gordas provenientes do leite	04.05	04
outros queijos	04.06	04
ovos de outras aves, não para incubação ou não frescos	04.07	04
outros ovos de aves, sem casca, frescos, cozidos em água ou vapor, congelados ou preservados de outro modo, mesmo adicionados de açúcar	04.08	04
mel natural	04.09	04
outros produtos comestíveis de origem animal	04.10	04
cabelos em bruto, mesmo lavados e desengordurados; desperdícios de cabelo	05.01	05
pêlos de texugo, outros pelos e desperdícios de pêlos para escovas, pincéis e artigos semelhantes	05.02	05
crinas e seus desperdícios, mesmo em mantas	05.03	05
tripas, bexigas e estômagos de animais, exceto peixes, inteiros ou em pedaços, frescos, refrigerados, congelados, salgados, secos ou defumados	05.04	05
peles e outras partes de aves, com suas penas ou penugem	05.05	05
ossos e núcleos córneos, em bruto, desengordurados, degelatinados ou simplesmente preparados; pós e desperdícios destas matérias	05.06	05
carapaças de tartarugas, barbas, chifres, galhadas, cascos, em bruto ou simplesmente preparados; seus pós e desperdícios	05.07	05
coral, conchas, carapaças de moluscos, em bruto ou preparadas; seus pós e desperdícios	05.08	05
esponjas naturais de origem animal	05.09	05
âmbar-cinzento, castóreo, algália e almíscar; bílis, mesmo seca; glândulas e outras substâncias de origem animal utilizadas na preparação de produtos farmacêuticos, frescas, refrigeradas, congeladas ou provisoriamente conservadas de outro modo	05.10	05
outros produtos de origem animal, impróprios para alimentação humana; animais mortos	05.11	05
bulbos, tubérculos, raízes tuberosas, rebentos e rizomas, em vegetação ou em flor; mudas, plantas e raízes de chicória	06.01	06
outras plantas vivas, mudas de plantas, e micélios de cogumelos	06.02	06
flores e seus botões, secos, branqueados, tingidos ou preparados de outro modo, cortados para buquês ou para ornamentação	06.03	06
folhagem, folhas, ramos de plantas, secos ou preparados, para buquês ou para ornamentação	06.04	06
batatas, frescas ou refrigeradas	07.01	07
tomates, frescos ou refrigerados	07.02	07
alhos-porros e outros produtos hortícolas aliáceos, frescos ou refrigerados	07.03	07
couves, repolhos e produtos comestíveis semelhantes do gênero brassica, frescos ou refrigerados	07.04	07
outras chicórias, frescas ou refrigeradas	07.05	07
beterrabas, rabanetes e outras raízes, frescas ou refrigeradas	07.06	07
pepinos e pepininhos cornichons, frescos ou refrigerados	07.07	07
outros legumes de vagem, frescas ou refrigeradas, com ou sem vagem	07.08	07
outros produtos hortícolas, frescos ou refrigerados	07.09	07
misturas de produtos hortícolas congelados, não cozidos ou cozidos em água ou vapor	07.10	07
outros produtos e misturas hortícolas conservadas transitoriamente, mas impróprios para alimentação neste estado	07.11	07
outros produtos e misturas hortícolas, secos, inclusive em pedaços ou fatias, trituradas ou em pó, sem qualquer outro preparo	07.12	07
outros legumes de vagem, secos, em grãos, mesmo pelados ou partidos	07.13	07
outras raízes ou tubérculos com elevado teor de fécula ou de inulina, frescos ou secos, mesmo em pedaços ou em pellets; medula de sagueiro	07.14	07
castanha de caju, fresca ou seca, sem casca	08.01	08
outras frutas de casca rija, frescas ou secas, mesmo sem casca ou peladas	08.02	08
bananas frescas ou secas, exceto bananas-da-terra	08.03	08
goiabas, mangas e mangostões, frescos ou secos	08.04	08
outros cítricos frescos ou secos	08.05	08
uvas secas	08.06	08
mamões (papaias) frescos	08.07	08
marmelos, frescos	08.08	08
ameixas e abrunhos, frescos	08.09	08
outras frutas frescas	08.10	08
outras frutas congeladas, não cozidas ou cozidas em água ou vapor, mesmo adicionadas de açúcar ou de outros edulcorantes	08.11	08
outras frutas conservadas transitoriamente, mas impróprias para alimentação neste estado	08.12	08
misturas de frutas secas ou de frutas de casca rija	08.13	08
cascas de cítricos, de melões ou de melancias, frescas, secas, congeladas ou conservadas temporariamente	08.14	08
cascas, películas de café e sucedâneos do café	09.01	09
chá preto (fermentado ou parcialmente fermentado) apresentado em qualquer outra forma	09.02	09
mate	09.03	09
pimentões e pimentas, triturados ou em pó	09.04	09
baunilha, triturada ou em pó	09.05	09
canela e flores de caneleira, trituradas ou em pó	09.06	09
cravo-da-índia (frutos, flores e pedúnculo), triturado ou em pó	09.07	09
amomos e cardamomos, triturados ou em pó	09.08	09
sementes de anis, badiana, funcho ou alcaravia; bagas de zimbro: triturado ou em pó	09.09	09
outras especiarias	09.10	09
outros  trigos e misturas de trigo com centeio, exceto para semeadura	10.01	10
centeio, exceto para semeadura	10.02	10
cevada, exceto para semeadura	10.03	10
aveia, exceto para semeadura	10.04	10
milho, exceto para semeadura	10.05	10
arroz quebrado (trinca de arroz)	10.06	10
sorgo de grão, exceto para semeadura	10.07	10
outros cereais	10.08	10
farinhas de trigo ou de mistura de trigo com centeio	11.01	11
farinha de outros cereais	11.02	11
pellets de outros cereais	11.03	11
germes de cereais, inteiros, esmagados, em flocos ou moídos	11.04	11
flocos, grânulos e pellets, de batata	11.05	11
farinhas, sêmolas e pós de frutas (dos produtos do capítulo 8)	11.06	11
malte torrado	11.07	11
inulina	11.08	11
glúten de trigo, mesmo seco	11.09	11
soja, mesmo triturada, exceto para semeadura	12.01	12
amendoins descascados, mesmo triturados	12.02	12
copra em grãos	12.03	12
sementes de linho (linhaça), mesmo trituradas	12.04	12
outras sementes de nabo silvestre ou de colza, mesmo trituradas	12.05	12
sementes de girassol, mesmo trituradas	12.06	12
outras sementes e frutos oleaginosos, mesmo triturados	12.07	12
farinhas de outras sementes ou de frutos oleaginosos	12.08	12
outras sementes, frutos e esporos, para semeadura	12.09	12
cones de lúpulo, triturados, moídos ou em pellets, lupulina	12.10	12
outras plantas, partes de plantas, sementes e frutos, frescos ou secos, mesmo cortados, triturados ou em pó, para uso em perfumaria, medicina ou como inseticidas, parasiticidas ou semelhantes	12.11	12
outros produtos vegetais utilizados principalmente na alimentação humana	12.12	12
palhas e cascas de cereais, em bruto, mesmo picadas, moídas, prensadas ou em pellets	12.13	12
rutabagas, raízes forrageiras e outros produtos forrageiros, mesmo em pellets	12.14	12
outras gomas, resinas, gomas-resinas, oleorresinas, naturais	13.01	13
produtos mucilaginosos e espessantes, derivados de outros vegetais, mesmo modificados	13.02	13
outras matérias vegetais para cestaria ou espartaria	14.01	14
outras matérias vegetais, para enchimento ou estofamento	14.02	14
outras matérias vegetais para fabricação de vassouras ou escovas	14.03	14
outros produtos de origem vegetal não especificados nem compreendidos em outras posições	14.04	14
gordura de aves	15.01	15
gorduras ovinas ou caprinas	15.02	15
estearina solar, óleo de banha de porco, óleo estearina, óleo margarina e óleo de sebo, não emulsionados nem misturados, nem preparados de outro modo	15.03	15
gorduras e óleos de mamíferos marinhos e respectivas frações, mesmo refinados, mas não modificados quimicamente	15.04	15
lanolina e outras substâncias gordas derivadas da suarda	15.05	15
outras gorduras e óleos de animais, mesmo refinados, mas não quimicamente modificados	15.06	15
óleo de soja e respectivas frações, mesmo refinados, mas não quimicamente modificados	15.07	15
outros óleos de amendoim e respectivas frações, mesmo refinados, mas não quimicamente modificados	15.08	15
azeite de oliva refinado e outros azeites de oliva, não quimicamente modificados	15.09	15
outros óleos e respectivas frações, obtidos de azeitonas, mesmo refinados, mas não quimicamente modificados, e misturas desses óleos com óleos da posição 1509	15.10	15
outros óleos de dendê, mesmo refinados, mas não quimicamente modificados	15.11	15
óleo de algodão e respectivas frações, mesmo refinados, mas não quimicamente modificados	15.12	15
outros óleos de palmiste ou de babaçu e suas frações, mesmo refinados, mas não quimicamente modificados	15.13	15
outros óleos de nabo silvestre, de colza ou de mostarda, refinados e outros	15.14	15
outras gorduras e óleos vegetais fixos e respectivas frações, mesmo refinados, mas não quimicamente modificados	15.15	15
gorduras e óleos vegetais e respectivas frações, parcial ou totalmente hidrogenados, interesterificados, reesterificados ou elaidinizados, mesmo refinados, mas não preparados de outro modo	15.16	15
misturas ou preparações alimentícias de gorduras ou de óleos animais ou vegetais	15.17	15
gorduras e óleos animais ou vegetais, cozidos, oxidados, desidratados ou modificados quimicamente por qualquer outro processo	15.18	15
glicerol em bruto; águas e lixívias, glicéricas	15.20	15
ceras de abelhas ou de outros insetos e espermacete, mesmo refinados ou corados	15.21	15
dégras e resíduos do tratamento das matérias graxas ou das ceras	15.22	15
enchidos e produtos semelhantes de carne, miudezas ou sangue; preparações alimentícias à base de tais produtos	16.01	16
outras preparações alimentícias e conservas de carnes, miudezas ou sangue de animais	16.02	16
extratos e sucos de carnes, de peixes ou de crustáceos ou de outros invertebrados aquáticos	16.03	16
sucedâneos de caviar	16.04	16
preparações e conservas de moluscos e outros invertebrados aquáticos	16.05	16
outros açúcares de cana, de beterraba e sacarose quimicamente pura, no estado sólido	17.01	17
outros açúcares no estado sólido, xaropes de açúcares, incluído o açúcar invertido, sucedâneos do mel, sem adição de aromatizantes ou de corantes	17.02	17
outros melaços da extração ou refinação do açúcar	17.03	17
outros produtos de confeitaria, sem cacau	17.04	17
cacau inteiro ou partido, em bruto ou torrado	18.01	18
cascas, películas e outros desperdícios de cacau	18.02	18
pasta de cacau, total ou parcialmente desengordurada	18.03	18
manteiga, gordura e óleo de cacau	18.04	18
cacau em pó, sem adição de açúcar ou outros edulcorantes	18.05	18
outros chocolates e preparações alimentícias contendo cacau	18.06	18
outras preparações alimentícias de farinhas, sêmolas, amidos, féculas ou de extratos de malte sem cacau ou contendo menos de 40% de cacau em peso	19.01	19
couscous	19.02	19
tapioca e seus sucedâneos preparados a partir de féculas, em flocos, grumos, grãos, pérolas ou formas semelhantes	19.03	19
outros cereais em grãos, pré-cozidos ou preparados de outro modo	19.04	19
outros produtos de padaria, pastelaria ou da indústria de biscoitos, mesmo com adição de cacau	19.05	19
outros produtos hortícolas, frutas e outras partes comestíveis de plantas, preparados ou conservados em vinagre ou em ácido acético	20.01	20
sucos de tomates e outros tomates preparados ou conservados, exceto em vinagre ou em ácido acético	20.02	20
outros cogumelos, preparados ou conservados, exceto em vinagre ou ácido acético	20.03	20
outros produtos hortícolas preparados ou conservados, exceto em vinagre ou em ácido acético, congelados	20.04	20
outros produtos hortícolas preparados ou conservados, exceto em vinagre ou em ácido acético, não congelados	20.05	20
produtos hortícolas, frutas e cascas, conservados em açúcar	20.06	20
geleias, doces, purês e marmelades, de outras frutas	20.07	20
outras frutas e partes de plantas, preparadas ou conservadas	20.08	20
misturas de sucos, não fermentados	20.09	20
chicória torrada e outros sucedâneos torrados do café e respectivos extratos, essências e concentrados	21.01	21
pós para levedar, preparados	21.02	21
maionese e outros condimentos e temperos compostos	21.03	21
preparações alimentícias compostas, homogeneizadas	21.04	21
sorvetes, mesmo contendo cacau	21.05	21
outras preparações alimentícias	21.06	21
outras águas, não adicionadas de açúcar nem aromatizadas; gelo e neve	22.01	22
outras bebidas não-alcoólicas (exceto água, cerveja sem álcool e itens da posição 20. 09)	22.02	22
cervejas de malte	22.03	22
outros mostos de uvas parcialmente fermentados	22.04	22
outros vermutes e vinhos de uvas frescas, aromatizados	22.05	22
sidra e outras bebidas fermentadas e misturas de bebidas fermentadas	22.06	22
álcool etílico e aguardentes desnaturados com qualquer teor alcoólico	22.07	22
outras bebidas alcoólicas	22.08	22
vinagres e sucedâneos obtidos a partir do ácido acético, para uso alimentar	22.09	22
farinhas, pós e pellets de peixes ou crustáceos, impróprios para alimentação humana	23.01	23
sêmeas, farelos e outros resíduos de leguminosas	23.02	23
borras e desperdícios da indústria da cerveja e das destilarias	23.03	23
tortas e outros resíduos sólidos da extração do óleo de soja	23.04	23
tortas e outros resíduos sólidos da extração de óleo de amendoim	23.05	23
tortas e outros resíduos sólidos da extração de outros óleos ou gorduras vegetais	23.06	23
borras de vinho; tártaro em bruto	23.07	23
matérias, desperdícios, resids. etc. vegetais,  para alimentação animal	23.08	23
outras preparações para alimentação de animais	23.09	23
desperdícios de fumo	24.01	24
charutos, cigarrilhas e cigarros de sucedâneos de fumo (tabaco)	24.02	24
extratos, molhos e outros produtos do fumo e seus sucedâneos, manufaturados	24.03	24
sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes	25.01	25
piritas de ferro não ustuladas	25.02	25
enxofre de qualquer espécie, exceto sublimado, precipitado ou coloidal	25.03	25
outras formas de grafita natural	25.04	25
outras areias naturais, mesmo coradas	25.05	25
outras formas de quartzitos	25.06	25
caulim e outras argilas caulínicas, mesmo calcinadas	25.07	25
barro cozido em pó (terra chamotte) e terra de dinas	25.08	25
cré	25.09	25
fosfatos de cálcio naturais, fosfatos aluminocálcicos naturais, cré-fosfatado, moídos	25.10	25
carbonato de bário natural (witherita)	25.11	25
farinhas siliciosas fósseis e outras terras siliciosas, de densidade aparente <= 1	25.12	25
esmeril, corindo natural, granada natural e outros abrasivos naturais, mesmo tratados termicamente	25.13	25
ardósia, inclusive desbastada ou cortada em blocos ou placas	25.14	25
granitos belgas, outras pedras calcárias de cantaria ou de construção; alabastro	25.15	25
outras pedras de cantaria ou de construção em formatos quadrados ou retangulares	25.16	25
grânulos, lascas e pós, de granito e de outras pedras de cantaria	25.17	25
aglomerados de dolomita	25.18	25
magnésia eletrofundida, magnésia calcinada a fundo e outros óxidos de magnésio	25.19	25
gesso	25.20	25
castinas; pedras calcárias para fabricação de cal ou de cimento	25.21	25
cal hidráulica	25.22	25
outros cimentos hidráulicos, coloridos ou não	25.23	25
outras formas de amianto (asbesto)	25.24	25
desperdícios de mica	25.25	25
esteatita natural, triturada ou em pó e talco	25.26	25
criolita natural e quiolita natural	25.27	25
outros boratos naturais; ácidos bóricos naturais com teor máximo de 85% de h3bo3 em produto seco	25.28	25
leucita, nefelina e nefelina-sienito	25.29	25
outras matérias minerais (espodumênio, areias de zircônio, terras corantes)	25.30	25
piritas de ferro ustuladas (cinzas de piritas)	26.01	26
minérios de manganês e seus concentrados, incluídos os minérios de manganês ferruginosos e seus concentrados, de teor de manganês de => 20%, em peso, sobre o produto seco	26.02	26
minérios de cobre e seus concentrados	26.03	26
minérios de níquel e seus concentrados	26.04	26
minérios de cobalto e seus concentrados	26.05	26
minérios de alumínio e seus concentrados	26.06	26
minérios de chumbo e seus concentrados	26.07	26
minérios de zinco e seus concentrados	26.08	26
minérios de estanho e seus concentrados	26.09	26
minérios de cromo e seus concentrados	26.10	26
minérios de tungstênio e seus concentrados	26.11	26
minérios de tório e seus concentrados	26.12	26
minérios de molibdênio não ustulados e concentrados	26.13	26
minérios de titânio e seus concentrados	26.14	26
minérios de nióbio, tântalo ou vanádio, e seus concentrados	26.15	26
minérios de outros metais preciosos e seus concentrados	26.16	26
outros minérios e seus concentrados	26.17	26
escória de altos-fornos granulada, proveniente da fabricação do ferro e aço	26.18	26
outras escórias e desperdícios da fabricação do ferro e aço	26.19	26
cinzas e resíduos, contendo outros metais ou compostos de metais	26.20	26
outras escórias e cinzas, incluídas as cinzas de algas	26.21	26
briquetes, bolas em aglomerados e combustíveis sólidos obtidos da hulha	27.01	27
linhitas aglomeradas	27.02	27
turfa (incluída a turfa para cama de animais), mesmo aglomerada	27.03	27
coques e semicoques de hulha, de linhita ou de turfa, mesmo aglomerados; carvão de retorta	27.04	27
gás de hulha, gás de água, gás pobre e gases semelhantes, exceto de gases de petróleo e outros hidrocarbonetos gasosos	27.05	27
alcatrões de hulha, de linhita, de turfa e outros alcatrões minerais	27.06	27
óleos e outros produtos da destilação dos alcatrões da hulha a alta temperatura	27.07	27
coque de breu obtido de alcatrões minerais	27.08	27
óleos brutos de petróleo ou de minerais betuminosos	27.09	27
outros desperdícios de óleos	27.10	27
butanos, outros hidrocarbonetos e gás petróleo, no estado gasoso	27.11	27
cera de petróleo microcristalina, slack wax, ozocerite, outras ceras minerais e produtos semelhantes	27.12	27
outros resíduos dos óleos de petróleo ou de minerais betuminosos	27.13	27
betumes e asfaltos naturais, asfaltitas e rochas asfálticas	27.14	27
misturas betuminosas à base de asfalto, de betumes, de alcatrão ou de breu de alcatrão mineral	27.15	27
energia elétrica	27.16	27
flúor e bromo	28.01	28
enxofre sublimado ou precipitado; enxofre coloidal	28.02	28
carbono (negros-de-carbono e outras formas não compreendidas em outras posições)	28.03	28
selênio	28.04	28
mercúrio	28.05	28
ácido clorossulfúrico	28.06	28
ácido sulfúrico e ácido sulfúrico fumante (oleum)	28.07	28
ácido nítrico; ácidos sulfonítricos	28.08	28
ácido fosfórico e ácidos polifosfóricos	28.09	28
óxidos de boro; ácidos bóricos	28.10	28
outros compostos oxigenados inorgânicos dos elementos não metálicos	28.11	28
outros halogenetos e oxialogenetos dos elementos não metálicos	28.12	28
outros sulfetos dos elementos não metálicos e trissulfeto de fósforo comercial	28.13	28
amoníaco em solução aquosa (amônia)	28.14	28
peróxidos de sódio ou de potássio	28.15	28
óxidos, hidróxidos, peróxidos, de estrôncio ou de bário	28.16	28
óxido de zinco; peróxido de zinco	28.17	28
hidróxido de alumínio	28.18	28
óxidos e hidróxidos de cromo	28.19	28
outros óxidos de manganês	28.20	28
terras corantes contendo, em peso, => 70% de ferro combinado, expresso em fe2o3	28.21	28
óxidos e hidróxidos de cobalto, inclusive os comerciais	28.22	28
óxidos de titânio	28.23	28
outros óxidos de chumbo (minio e minio-laranja)	28.24	28
outras bases inorgânicas; óxidos, hidróxidos e peróxidos de outros metais	28.25	28
outros fluossilicatos, fluoraluminatos e sais complexos de flúor	28.26	28
iodetos e oxiiodetos	28.27	28
outros hipocloritos, cloritos e hipobromitos	28.28	28
bromatos e perbromatos, iodatos e periodatos; percloratos	28.29	28
outros sulfetos e polissulfetos	28.30	28
outros ditionitos e sulfoxilatos	28.31	28
tiossulfatos	28.32	28
peroxossulfatos (persulfatos)	28.33	28
outros nitratos	28.34	28
outros polifosfatos	28.35	28
outros carbonatos e peroxocarbonatos (percarbonatos)	28.36	28
cianetos complexos	28.37	28
fulminatos, cianatos e outros tiocianatos	28.38	28
outros silicatos dos metais alcalinos comerciais	28.39	28
peroxoboratos (perboratos)	28.40	28
outros sais dos ácidos oxometálicos ou peroxometálicos	28.41	28
outros sais dos ácidos ou peroxoácidos inorgânicos, exceto azidas	28.42	28
outros compostos inorgânicos ou orgânicos de metais preciosos; amálgamas de metais preciosos	28.43	28
elementos combustíveis (cartuchos), usados (irradiados), de reatores nucleares	28.44	28
isótopos (não radioativos) e seus compostos inorgânicos ou orgânicos	28.45	28
outros compostos dos metais das terras raras, de ítrio ou de escândio ou da mistura desses metais	28.46	28
peróxido de hidrogênio (água oxigenada), mesmo solidificado com uréia	28.47	28
fosfetos, exceto ferrofósforos, quimicamente definidos ou não	28.48	28
outros carbonetos de constituição química definida ou não	28.49	28
hidretos, nitretos, azidas, silicietos e boretos, quimicamente definidos ou não	28.50	28
compostos inorgânicos	28.51	28
outros compostos de mercúrio	28.52	28
fosfeto; cianamida; sulfocloretos de fósforo; outros compostos inorgânicos (incluindo as águas destiladas ou de condutibilidade e águas de igual grau de pureza)	28.53	28
outros hidrocarbonetos acíclicos não saturados	29.01	29
outros hidrocarbonetos cíclicos	29.02	29
outros halogenados derivados de hidrocarbonetos aromáticos	29.03	29
outros derivados sulfonados, nitrados ou nitrosados dos hidrocarbonetos, mesmo halogenados	29.04	29
outros derivados halogenados, sulfonados, nitrados ou nitrosados dos álcoois acíclicos	29.05	29
outros álcoois cíclicos aromáticos e seus derivados halogenados, sulfonados, nitrados ou nitrosados	29.06	29
